ocorrencia_classificacao;ocorrencia_uf;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo_veiculo;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano
INCIDENTE;AM;1;NÃO;***;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;ESTACIONAMENTO;PRIVADA;LEVE
ACIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;DESTRUÍDA
ACIDENTE;PR;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;EXPERIMENTAL;SUBSTANCIAL
INCIDENTE;DF;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;GO;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;NENHUM
INCIDENTE GRAVE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;ARREMETIDA NO AR;INSTRUÇÃO;NENHUM
INCIDENTE;PE;1;NÃO;AVIÃO;JATO;***;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;RO;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;TÁXI;POLICIAL;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;***;SEM TRAÇÃO;SUBIDA;REGULAR;NENHUM
ACIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;SUBIDA;PRIVADA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;PRIVADA;LEVE
INCIDENTE;RR;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOEIXO;BIMOTOR;DESCIDA;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;HELICÓPTERO;***;***;APROXIMAÇÃO FINAL;ESPECIALIZADA;NENHUM
INCIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;TÁXI;TÁXI AÉREO;LEVE
