ocorrencia_classificacao;ocorrencia_uf;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo_veiculo;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano
INCIDENTE GRAVE;PR;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;POUSO;INSTRUÇÃO;LEVE
ACIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;INSTRUÇÃO;SUBSTANCIAL
ACIDENTE;MS;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;INDETERMINADA;***;DESTRUÍDA
INCIDENTE;SC;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;MANOBRA;POLICIAL;NENHUM
INCIDENTE;MT;1;SIM;AVIÃO;TURBOÉLICE;MONOMOTOR;CORRIDA APÓS POUSO;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;PE;1;NÃO;AVIÃO;JATO;BIMOTOR;PROCEDIMENTO DE APROXIMAÇÃO IFR;REGULAR;NENHUM
ACIDENTE;RS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;SUBSTANCIAL
ACIDENTE;MG;1;SIM;AVIÃO;JATO;BIMOTOR;DECOLAGEM;PRIVADA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;TÁXI;PRIVADA;NENHUM
INCIDENTE;MT;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;DESCIDA;TÁXI AÉREO;NENHUM
ACIDENTE;MS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;SUBSTANCIAL
INCIDENTE;AM;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE GRAVE;MS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;LEVE
INCIDENTE;AL;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;SUBIDA;INSTRUÇÃO;NENHUM
ACIDENTE;RO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;INDETERMINADA;***;SUBSTANCIAL
INCIDENTE;MT;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;POUSO;TÁXI AÉREO;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;SUBIDA;INSTRUÇÃO;NENHUM
INCIDENTE;PR;1;NÃO;***;***;SEM TRAÇÃO;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CRUZEIRO;***;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;INSTRUÇÃO;LEVE
ACIDENTE;PI;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;DESTRUÍDA
INCIDENTE GRAVE;SC;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
ACIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
ACIDENTE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;INSTRUÇÃO;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;RR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
ACIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;PR;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;INSTRUÇÃO;NENHUM
ACIDENTE;AP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
ACIDENTE;BA;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;MANOBRA;ESPECIALIZADA;SUBSTANCIAL
INCIDENTE;PE;1;NÃO;AVIÃO;JATO;TRIMOTOR;CRUZEIRO;REGULAR;NENHUM
ACIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;SC;1;NÃO;AVIÃO;JATO;BIMOTOR;POUSO;REGULAR;LEVE
INCIDENTE GRAVE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE GRAVE;RS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;SUBIDA;AGRÍCOLA;LEVE
INCIDENTE;MT;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;SUBIDA;INSTRUÇÃO;NENHUM
INCIDENTE GRAVE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;INSTRUÇÃO;NENHUM
INCIDENTE GRAVE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;POUSO;POLICIAL;LEVE
INCIDENTE;AP;1;NÃO;***;JATO;BIMOTOR;CORRIDA APÓS POUSO;REGULAR;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;NENHUM
INCIDENTE;RJ;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;CRUZEIRO;TÁXI AÉREO;NENHUM
ACIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;ARREMETIDA NO SOLO;PRIVADA;SUBSTANCIAL
ACIDENTE;TO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;SUBSTANCIAL
INCIDENTE GRAVE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE
INCIDENTE;RJ;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;RO;1;NÃO;AVIÃO;JATO;BIMOTOR;POUSO;REGULAR;LEVE
INCIDENTE GRAVE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE
INCIDENTE GRAVE;BA;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;TÁXI AÉREO;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE GRAVE;PR;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE
INCIDENTE;RJ;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;CRUZEIRO;TÁXI AÉREO;NENHUM
INCIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;SUBIDA;POLICIAL;LEVE
ACIDENTE;DF;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;APROXIMAÇÃO FINAL;POLICIAL;SUBSTANCIAL
INCIDENTE;PA;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
ACIDENTE;SC;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
INCIDENTE GRAVE;PI;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
ACIDENTE;AM;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;INDETERMINADA;PRIVADA;SUBSTANCIAL
ACIDENTE;MG;1;NÃO;***;***;***;MANOBRA;PRIVADA;SUBSTANCIAL
ACIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;SUBIDA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;AM;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;NENHUM
INCIDENTE;ES;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;POUSO;TÁXI AÉREO;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;MS;1;SIM;AVIÃO;TURBOÉLICE;MONOMOTOR;DECOLAGEM;PRIVADA;LEVE
ACIDENTE;SP;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;SUBSTANCIAL
ACIDENTE;RO;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
ACIDENTE;RO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;***;PRIVADA;DESTRUÍDA
ACIDENTE;SP;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;APROXIMAÇÃO FINAL;POLICIAL;NENHUM
INCIDENTE;PR;3;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;ESTACIONAMENTO;PRIVADA;LEVE
INCIDENTE GRAVE;SP;2;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;LEVE
INCIDENTE GRAVE;PA;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;TÁXI;PRIVADA;LEVE
ACIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DESCIDA;REGULAR;NENHUM
ACIDENTE;PR;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
ACIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;ARREMETIDA NO AR;PRIVADA;DESTRUÍDA
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DESCIDA;REGULAR;NENHUM
ACIDENTE;RJ;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;MANOBRA;INSTRUÇÃO;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;NENHUM
ACIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;SC;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;NENHUM
ACIDENTE;PR;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;***;***;DESTRUÍDA
INCIDENTE;RN;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;RJ;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;CRUZEIRO;TÁXI AÉREO;NENHUM
INCIDENTE;ES;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;REGULAR;LEVE
ACIDENTE;PR;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;OPERAÇÃO DE SOLO;PRIVADA;SUBSTANCIAL
ACIDENTE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;ARREMETIDA NO SOLO;INSTRUÇÃO;SUBSTANCIAL
INCIDENTE;PR;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;APROXIMAÇÃO FINAL;***;NENHUM
INCIDENTE;PE;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;MANOBRA;ESPECIALIZADA;NENHUM
INCIDENTE;ES;1;NÃO;AVIÃO;JATO;TRIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;INDETERMINADA;INSTRUÇÃO;LEVE
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;***;NENHUM
ACIDENTE;BA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE GRAVE;SP;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;PRIVADA;LEVE
INCIDENTE GRAVE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;INSTRUÇÃO;NENHUM
INCIDENTE GRAVE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;INSTRUÇÃO;NENHUM
INCIDENTE;RR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;INDETERMINADA;PRIVADA;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;TÁXI;PRIVADA;NENHUM
INCIDENTE;AM;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;DECOLAGEM VERTICAL;TÁXI AÉREO;LEVE
ACIDENTE;MT;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;SUBIDA;PRIVADA;DESTRUÍDA
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;INSTRUÇÃO;NENHUM
ACIDENTE;BA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;INSTRUÇÃO;NENHUM
INCIDENTE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;POUSO;INSTRUÇÃO;NENHUM
ACIDENTE;MS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CIRCUITO DE TRÁFEGO;PRIVADA;SUBSTANCIAL
INCIDENTE;RJ;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;CRUZEIRO;TÁXI AÉREO;NENHUM
INCIDENTE;RO;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;TÁXI;TÁXI AÉREO;NENHUM
INCIDENTE GRAVE;PA;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;SC;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;CRUZEIRO;POLICIAL;LEVE
INCIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;INSTRUÇÃO;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;CE;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;RJ;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;QUADRIMOTOR;DECOLAGEM;REGULAR;NENHUM
ACIDENTE;SC;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;POUSO;ESPECIALIZADA;SUBSTANCIAL
INCIDENTE;DF;1;NÃO;ANFÍBIO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;INSTRUÇÃO;NENHUM
INCIDENTE GRAVE;RJ;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;TÁXI;POLICIAL;LEVE
INCIDENTE GRAVE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;ESTACIONAMENTO;PRIVADA;LEVE
INCIDENTE;SC;1;NÃO;AVIÃO;JATO;BIMOTOR;POUSO;PRIVADA;NENHUM
INCIDENTE GRAVE;SC;1;SIM;ULTRALEVE;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;LEVE
ACIDENTE;MG;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;SUBSTANCIAL
INCIDENTE GRAVE;CE;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CRUZEIRO;TÁXI AÉREO;NENHUM
INCIDENTE GRAVE;PA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;LEVE
ACIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;DECOLAGEM;PRIVADA;DESTRUÍDA
INCIDENTE GRAVE;MG;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;LEVE
INCIDENTE;PE;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;LEVE
INCIDENTE;AM;1;SIM;AVIÃO;PISTÃO;BIMOTOR;POUSO;PRIVADA;NENHUM
ACIDENTE;SP;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;MANOBRA;EXPERIMENTAL;DESTRUÍDA
ACIDENTE;AM;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
INCIDENTE;PE;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CRUZEIRO;REGULAR;LEVE
INCIDENTE;MS;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;TÁXI;AGRÍCOLA;LEVE
ACIDENTE;SC;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;ESPECIALIZADA;SUBSTANCIAL
ACIDENTE;CE;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CRUZEIRO;TÁXI AÉREO;DESTRUÍDA
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;LEVE
INCIDENTE;PR;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;TÁXI AÉREO;LEVE
ACIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;INSTRUÇÃO;SUBSTANCIAL
INCIDENTE GRAVE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;AGRÍCOLA;LEVE
INCIDENTE GRAVE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE GRAVE;PA;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;CRUZEIRO;POLICIAL;LEVE
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;NENHUM
INCIDENTE;PR;1;NÃO;***;***;SEM TRAÇÃO;POUSO;PRIVADA;NENHUM
INCIDENTE GRAVE;CE;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;***;LEVE
ACIDENTE;GO;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;PRIVADA;SUBSTANCIAL
ACIDENTE;SC;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;INSTRUÇÃO;SUBSTANCIAL
INCIDENTE;SP;1;SIM;AVIÃO;JATO;BIMOTOR;DECOLAGEM;PRIVADA;NENHUM
INCIDENTE GRAVE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
INCIDENTE;RJ;1;NÃO;AVIÃO;JATO;TRIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;LEVE
ACIDENTE;AM;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;SUBSTANCIAL
INCIDENTE;PR;1;NÃO;AVIÃO;JATO;TRIMOTOR;TÁXI;***;NENHUM
INCIDENTE;MG;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;CRUZEIRO;PRIVADA;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;TÁXI AÉREO;NENHUM
INCIDENTE;SP;1;NÃO;HELICÓPTERO;TURBOEIXO;BIMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;MT;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CORRIDA APÓS POUSO;AGRÍCOLA;LEVE
ACIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;PRIVADA;DESTRUÍDA
ACIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
ACIDENTE;ES;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;MANOBRA;PRIVADA;SUBSTANCIAL
INCIDENTE GRAVE;MT;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
ACIDENTE;TO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;AGRÍCOLA;DESTRUÍDA
INCIDENTE GRAVE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;LEVE
ACIDENTE;MA;1;NÃO;AVIÃO;***;SEM TRAÇÃO;APROXIMAÇÃO FINAL;AGRÍCOLA;DESTRUÍDA
ACIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
ACIDENTE;RJ;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;DECOLAGEM;EXPERIMENTAL;SUBSTANCIAL
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;APROXIMAÇÃO FINAL;NÃO REGULAR;NENHUM
INCIDENTE;MS;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;GO;1;NÃO;***;***;***;CRUZEIRO;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;***;***;SEM TRAÇÃO;POUSO;INSTRUÇÃO;NENHUM
ACIDENTE;MT;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;DECOLAGEM;PRIVADA;DESTRUÍDA
INCIDENTE GRAVE;RR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;NÃO REGULAR;LEVE
ACIDENTE;SP;1;NÃO;***;***;***;CRUZEIRO;PRIVADA;LEVE
ACIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;TÁXI;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;AGRÍCOLA;LEVE
INCIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CRUZEIRO;TÁXI AÉREO;***
ACIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;INSTRUÇÃO;NENHUM
INCIDENTE GRAVE;MG;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;AGRÍCOLA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;MA;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;POLICIAL;LEVE
ACIDENTE;RS;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;MANOBRA;POLICIAL;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;AGRÍCOLA;LEVE
INCIDENTE;MT;1;NÃO;***;***;***;CRUZEIRO;REGULAR;NENHUM
ACIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;***;PRIVADA;LEVE
INCIDENTE;PA;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;POUSO;TÁXI AÉREO;LEVE
ACIDENTE;MA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;***;SEM TRAÇÃO;DECOLAGEM;REGULAR;LEVE
ACIDENTE;SC;1;NÃO;AVIÃO;***;SEM TRAÇÃO;***;PRIVADA;***
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE GRAVE;MT;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;AGRÍCOLA;LEVE
INCIDENTE;PE;1;NÃO;***;***;***;APROXIMAÇÃO FINAL;REGULAR;NENHUM
